Concept,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
http://www.wikidata.org/entity/Q1353183,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
http://dbpedia.org/ontology/Name,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0,0,0
http://dbpedia.org/ontology/SnookerPlayer,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
http://dbpedia.org/ontology/NaturalPlace,0.0007,0.0004,0.0006,0.0005,0.0011,0.001,0.0004,0.0007,0.0009,0.0007,0.0004,0.0004,0.0005,0.0007,0.0008,0.0006,0.0011,0.0007,0.0005,0.0003,0.0005,0.0006,0.0004,0.0005,0.0015,0.0016,0.0007,0.001,0.0016,0.0014,0.001,0,0,0
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,0.0557,0.0454,0.0535,0.0529,0.0538,0.0508,0.0536,0.0501,0.0571,0.0485,0.0659,0.0632,0.056,0.0571,0.057,0.0533,0.0541,0.0511,0.055,0.0541,0.0563,0.0541,0.0538,0.053,0.0553,0.0462,0.0441,0.0401,0.0446,0.0483,0.0496,0,0,0
http://www.wikidata.org/entity/Q2095,0.0002,0.0001,0.0003,0.0002,0.0002,0.0002,0.0001,0.0001,0.0003,0.0002,0.0002,0.0001,0.0001,0.0002,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002,0.0002,0.0004,0.0004,0.0005,0,0,0
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#PlanExecution,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0
http://dbpedia.org/ontology/VolleyballPlayer,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
http://dbpedia.org/ontology/Beverage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
http://dbpedia.org/ontology/HumanGeneLocation,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0
http://dbpedia.org/ontology/Pope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
http://dbpedia.org/ontology/Settlement,0.0062,0.007,0.0058,0.0079,0.0092,0.0094,0.0078,0.0109,0.0063,0.0082,0.0057,0.0074,0.0068,0.0077,0.0065,0.0085,0.0064,0.0084,0.0068,0.0078,0.006,0.0059,0.0056,0.0056,0.0048,0.0028,0.0071,0.0072,0.0093,0.007,0.0062,0,0,0
http://dbpedia.org/ontology/Bank,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0,0,0
http://www.wikidata.org/entity/Q13414980,0.0003,0.0003,0.0001,0.0003,0.0008,0.0003,0.0009,0.0002,0.0002,0.0001,0.0002,0.0002,0.0014,0.0011,0.0003,0.0003,0.0001,0.0002,0.0001,0.0,0.0001,0.0001,0.0002,0.0001,0.0001,0.0,0.0001,0.0,0.0001,0.0002,0.0002,0,0,0
http://dbpedia.org/ontology/SpaceShuttle,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
http://dbpedia.org/ontology/Protein,0.0001,0.0317,0.0,0.0016,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0,0.0003,0.0,0.0,0.0004,0.0004,0.0001,0.0001,0,0,0
http://dbpedia.org/ontology/Motorcycle,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
http://dbpedia.org/ontology/Star,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0004,0.0,0.0001,0.0001,0.0003,0.0004,0.0001,0,0,0
http://dbpedia.org/ontology/Gene,0,0.0,0,0.0001,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
http://www.wikidata.org/entity/Q33231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
http://dbpedia.org/ontology/Disease,0.0002,0.0003,0.0002,0.0002,0.0004,0.0004,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0008,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0002,0.0001,0.0001,0.0002,0.0002,0.0002,0.0003,0,0,0
http://dbpedia.org/ontology/PopulatedPlace,0.0072,0.008,0.0071,0.0089,0.01,0.0103,0.009,0.0119,0.0078,0.0098,0.0065,0.0081,0.0076,0.0088,0.0071,0.0096,0.0079,0.0098,0.008,0.0091,0.0071,0.0068,0.0067,0.0067,0.0057,0.0031,0.008,0.0078,0.0102,0.0078,0.0069,0,0,0
http://dbpedia.org/ontology/Rocket,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
http://www.wikidata.org/entity/Q10833314,0.0002,0.0004,0.0006,0.0004,0.0011,0.0009,0.001,0.0007,0.0003,0.0003,0.0003,0.0002,0.0004,0.0004,0.0008,0.0003,0.0004,0.0003,0.0003,0.0002,0.0003,0.0004,0.0002,0.0006,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0003,0,0,0
http://dbpedia.org/ontology/Embryology,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
http://dbpedia.org/ontology/EducationalInstitution,0.0013,0.0011,0.0017,0.0014,0.0015,0.0019,0.0014,0.0016,0.0014,0.0018,0.0012,0.0011,0.0016,0.0013,0.0018,0.0011,0.0018,0.0014,0.0015,0.0015,0.0014,0.0014,0.0013,0.0014,0.0013,0.0003,0.0009,0.0007,0.0009,0.0011,0.0013,0,0,0
http://www.wikidata.org/entity/Q4610556,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0001,0,0,0
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#ChemicalObject,0.0002,0.0002,0.0004,0.0003,0.0003,0.0002,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002,0.0002,0.0001,0.0002,0.0002,0.0001,0.0003,0.0004,0.0002,0.0003,0.0004,0.0004,0.0003,0.0004,0.0001,0.0002,0.0007,0.0005,0.0004,0.001,0,0,0
http://dbpedia.org/ontology/ArtistDiscography,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0002,0.0002,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0
http://dbpedia.org/ontology/SupremeCourtOfTheUnitedStatesCase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0,0,0
http://dbpedia.org/ontology/Archaea,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
